id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
copico,Copico,XCPO,664,0.156241,0.00001393,11835.1,2460275.0,15746668.0,22940540.0,,0.49,-11.95,17.85,1519178357
machinecoin,Machinecoin,MAC,665,0.119586,0.00001066,1245.89,2447973.0,20470400.0,20470400.0,,1.61,8.5,29.08,1519178344
photon,Photon,PHO,666,0.000112009,0.000000010,10537.7,2416818.0,21576996107.0,21576996107.0,,1.59,-1.91,-5.54,1519178342
digitalprice,DigitalPrice,DP,667,0.12959,0.00001155,17290.0,2405304.0,18560874.0,26060875.0,,1.03,-17.73,-0.01,1519178343
canada-ecoin,Canada eCoin,CDN,668,0.0245794,0.00000219,2142.54,2394416.0,97415544.0,97415544.0,,2.03,-5.3,4.0,1519178342
ganjacoin,GanjaCoin,MRJA,669,0.256938,0.00002290,27431.9,2377752.0,9254185.0,9254185.0,,32.15,47.77,91.47,1519178344
leafcoin,LeafCoin,LEAF,670,0.0001122,0.00000001,2091.44,2365209.0,21080296750.0,21080296750.0,,1.56,-1.76,29.09,1519178341
unify,Unify,UNIFY,671,0.132463,0.00001181,6471.05,2364891.0,17853216.0,17853216.0,19276800.0,1.57,-10.61,14.66,1519178351
moin,Moin,MOIN,672,0.315836,0.00002815,7267.81,2348451.0,7435667.0,7435667.0,,0.34,-22.93,30.63,1519178345
commodity-ad-network,Commodity Ad Network,CDX,673,0.0715352,0.00000638,3534.73,2328471.0,32550000.0,120000000.0,,1.99,-12.22,34.5,1519178359
intelligent-trading-tech,Intelligent Trading Tech,ITT,674,0.23574,0.00002101,1058.09,2310228.0,9799899.0,11500000.0,,3.73,-9.09,-14.55,1519178356
emphy,Emphy,EPY,675,0.30106,0.00002683,1817.37,2305186.0,7656898.0,15375000.0,,2.2,-4.01,,1519178357
popularcoin,PopularCoin,POP,676,0.000672965,0.00000006,2703.15,2301130.0,3419390978.0,3419390978.0,4999999999.0,21.31,17.54,25.97,1519178342
leviarcoin,LeviarCoin,XLC,677,0.213741,0.00001905,4012.92,2300827.0,10764555.0,10764555.0,54000000.0,1.56,-11.85,0.38,1519178351
accelerator-network,Accelerator Network,ACC,678,8.13674,0.0007252,1191.92,2273939.0,279466.0,364157.0,,2.49,-14.13,9.0,1519178357
miners-reward-token,Miners' Reward Token,MRT,679,0.226808,0.00002021,41488.1,2268080.0,10000000.0,10000000.0,,1.53,-1.36,29.29,1519178352
carboncoin,Carboncoin,CARBON,680,0.000146874,0.00000001,2733.86,2260687.0,15392016661.0,15392016661.0,,-33.83,-35.18,-17.0,1519178343
linx,Linx,LINX,681,0.126191,0.00001125,25084.6,2247952.0,17813883.0,18813883.0,100000000.0,1.46,-9.62,10.46,1519178352
fastcoin,Fastcoin,FST,682,0.0142494,0.00000127,1350.26,2235922.0,156913424.0,156913424.0,165888000.0,1.39,-6.35,9.63,1519178341
bata,Bata,BTA,683,0.441948,0.00003939,5842.41,2210049.0,5000700.0,5000700.0,10000000.0,3.82,5.77,33.38,1519178345
skeincoin,Skeincoin,SKC,684,0.165271,0.00001473,5923.31,2179636.0,13188255.0,16276364.0,,28.64,0.55,16.5,1519178342
skincoin,SkinCoin,SKIN,685,0.0243425,0.00000217,215900.0,2146606.0,88183483.0,488183483.0,,2.71,-1.94,20.44,1519178352
aurumcoin,AurumCoin,AU,686,7.17489,0.00063947,840.503,2136018.0,297707.0,297707.0,300000.0,-1.67,-3.72,18.9,1519178343
ethereumcash,Ethereum Cash,ECASH,687,0.149675,0.00001334,17623.1,2110418.0,14100000.0,15000000.0,,8.04,-1.91,23.0,1519178355
wandx,WandX,WAND,688,0.172047,0.00001533,26301.0,2106567.0,12244135.0,16013284.0,75400000.0,-0.65,1.38,-19.18,1519178358
